"","SEXO","EDAD_MADN","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"70",2,37,19439,18258,21844,18592,17764,18034,18366,19935,19833,19683,18834,18778,19620,18844,18944,18963,18425,18611,18317,18070,17894,17732,18964,19170,18999,20290,20039,18396,18336,18200,17898,17492,17354,17340,17580,14367,16865,16614
"71",2,38,19978,17858,18299,17002,16477,15944,15472,17317,17520,17320,16359,16386,16021,16084,16386,15726,15284,15298,15244,14840,14877,14614,15401,14973,14876,16161,17568,15478,14956,15204,14784,14390,14221,14047,14006,11553,13653,13467
"72",2,39,14783,13715,14722,12710,13276,12891,12679,13106,13122,13591,12904,13031,12302,12003,13092,12906,11959,11872,11553,11403,11734,11343,12025,11797,11542,12540,12580,11813,11847,12096,11469,11564,11087,10769,11058,8758,10851,10744
"73",2,40,13636,11610,11893,10089,9695,10206,9949,11078,10821,10803,10560,10436,10190,9561,9991,9810,9675,9061,9090,8793,8870,8797,9065,9087,8721,9215,8743,8624,8820,8878,8582,8460,8514,8359,8325,6865,8134,8164
"74",2,41,7096,6826,7676,6602,6343,6501,7020,7306,7000,7001,6796,7176,7297,6915,6879,6781,6905,6690,6416,6059,6226,6229,6461,6387,6174,6294,6067,5930,6196,6062,6097,6039,5897,5904,5923,4795,5753,5732
"75",2,42,7554,6622,7053,6033,5853,5906,5538,6937,6649,6236,5773,5834,5915,5466,5609,5374,5171,5133,4901,4479,4498,4478,4846,4564,4306,4487,3985,4089,4280,4150,4195,4147,4038,3988,4080,3191,3870,4001
"76",2,43,5521,4747,5182,4371,4225,4255,3998,4396,4575,4502,4161,4080,3990,3839,3879,3782,3423,3285,3339,3082,2973,2951,3062,3014,2730,2907,2663,2516,2581,2673,2625,2571,2499,2517,2502,2094,2564,2531
"77",2,44,3927,3632,3817,3198,3108,2838,2878,3122,3000,3247,2941,2736,2667,2529,2729,2571,2357,2206,2125,1959,1947,1943,1896,1889,1731,1802,1644,1528,1553,1521,1413,1512,1444,1392,1521,1317,1448,1481
"78",2,45,3229,2708,2804,2228,2141,2182,2079,2353,2143,1986,2083,1966,1775,1705,1684,1663,1623,1473,1336,1255,1238,1127,1226,1074,1042,1106,935,866,841,906,801,906,858,841,888,691,835,857
"79",2,46,1683,1533,1661,1333,1254,1287,1272,1472,1342,1336,1213,1189,1207,1118,1112,1008,1011,901,884,744,751,750,731,697,637,643,559,536,472,503,452,479,466,453,475,406,502,482
"80",2,47,1228,1023,1252,1033,996,963,866,995,931,927,849,776,751,773,755,717,675,625,562,459,510,450,483,389,409,404,319,302,287,288,285,246,214,258,236,240,273,282
"81",2,48,1046,914,896,814,781,749,708,773,756,737,677,628,583,540,541,529,487,475,393,352,370,342,330,307,305,260,221,191,186,194,173,184,156,161,163,152,185,218
"82",2,49,639,548,677,489,587,465,481,557,486,481,430,440,415,348,386,376,367,301,244,291,283,256,238,214,196,194,198,140,148,128,112,122,116,117,102,93,109,137
"83",2,50,606,446,494,413,354,383,358,2140,2126,1943,1866,1661,1693,1563,1629,1603,1375,1184,1092,952,945,1109,1157,1153,376,433,459,294,264,208,327,182,212,204,225,194,274,284
"84",2,99,44728,41415,45068,49567,50876,76859,73455,65330,79390,95518,72474,64276,70023,65251,93608,108709,118369,111019,132777,115203,84143,77140,86746,80698,68104,70200,72511,47709,39406,42731,36876,31722,28482,24249,24439,31182,48274,60070
